time,open,high,low,close,tick_volume,spread,real_volume
2025-07-01 05:00:00,3317.74,3319.39,3314.47,3316.15,3314,10,0
2025-07-01 06:00:00,3316.08,3322.6,3315.78,3321.21,2994,7,0
2025-07-01 07:00:00,3321.2,3323.05,3318.99,3322.93,2471,16,0
2025-07-01 08:00:00,3322.95,3332.25,3322.91,3328.78,3427,6,0
2025-07-01 09:00:00,3328.88,3334.51,3325.11,3331.34,3619,5,0
2025-07-01 10:00:00,3331.48,3339.89,3330.77,3339.55,3976,5,0
2025-07-01 11:00:00,3339.49,3342.28,3336.84,3339.49,3405,5,0
2025-07-01 12:00:00,3339.53,3348.03,3338.2,3345.75,3582,9,0
2025-07-01 13:00:00,3345.81,3349.67,3344.43,3348.68,3264,5,0
2025-07-01 14:00:00,3348.66,3352.92,3347.08,3349.03,3701,5,0
2025-07-01 15:00:00,3349.1,3357.92,3348.29,3354.51,4175,9,0
2025-07-01 16:00:00,3354.6,3355.55,3344.56,3351.18,4658,6,0
2025-07-01 17:00:00,3350.8,3354.37,3343.66,3345.67,4630,5,0
2025-07-01 18:00:00,3345.73,3346.57,3337.07,3340.24,4321,9,0
2025-07-01 19:00:00,3340.25,3343.49,3337.61,3341.75,3697,10,0
2025-07-01 20:00:00,3341.75,3342.18,3336.99,3339.73,3435,14,0
2025-07-01 21:00:00,3339.67,3339.84,3336.86,3337.94,2768,15,0
2025-07-01 22:00:00,3337.96,3340.02,3336.89,3338.06,3217,15,0
2025-07-01 23:00:00,3337.83,3340.38,3336.92,3338.78,1562,15,0
2025-07-02 01:00:00,3338.98,3343.76,3336.7,3341.55,2373,5,0
2025-07-02 02:00:00,3341.77,3341.8,3336.83,3338.1,2283,15,0
2025-07-02 03:00:00,3338.12,3344.9,3334.89,3338.93,3294,11,0
2025-07-02 04:00:00,3339.0,3342.89,3330.99,3332.22,3631,10,0
2025-07-02 05:00:00,3332.17,3338.13,3328.88,3336.73,3346,15,0
2025-07-02 06:00:00,3336.96,3342.06,3334.94,3339.97,2973,12,0
2025-07-02 07:00:00,3339.95,3342.0,3339.5,3340.11,2167,14,0
2025-07-02 08:00:00,3340.08,3343.86,3336.6,3338.74,3016,11,0
2025-07-02 09:00:00,3338.83,3339.3,3329.88,3333.41,3403,11,0
2025-07-02 10:00:00,3333.13,3336.72,3327.61,3334.63,3607,5,0
2025-07-02 11:00:00,3334.5,3337.97,3332.93,3333.59,3028,15,0
2025-07-02 12:00:00,3333.52,3342.12,3333.08,3341.67,3178,14,0
2025-07-02 13:00:00,3341.65,3345.61,3340.63,3344.35,2677,8,0
2025-07-02 14:00:00,3344.38,3347.72,3339.83,3342.21,3096,15,0
2025-07-02 15:00:00,3342.2,3351.12,3337.75,3346.64,4278,6,0
2025-07-02 16:00:00,3346.54,3346.54,3334.96,3337.44,4452,11,0
2025-07-02 17:00:00,3337.66,3343.53,3333.89,3342.98,4036,6,0
2025-07-02 18:00:00,3342.99,3343.7,3338.73,3340.82,3730,13,0
2025-07-02 19:00:00,3340.98,3349.19,3340.95,3348.65,3452,9,0
2025-07-02 20:00:00,3348.41,3350.46,3347.4,3349.71,2742,5,0
2025-07-02 21:00:00,3349.76,3355.19,3348.56,3354.97,2699,10,0
2025-07-02 22:00:00,3354.99,3359.45,3354.63,3358.2,3241,5,0
2025-07-02 23:00:00,3358.14,3360.1,3355.64,3356.93,1528,13,0
2025-07-03 01:00:00,3358.07,3365.74,3357.77,3361.93,2300,5,0
2025-07-03 02:00:00,3361.95,3362.29,3348.82,3349.32,3018,15,0
2025-07-03 03:00:00,3349.48,3349.83,3346.36,3346.38,210,16,0
2025-07-03 12:00:00,3353.14,3353.43,3343.9,3345.68,2888,7,0
2025-07-03 13:00:00,3345.74,3355.33,3344.78,3352.98,3095,5,0
2025-07-03 14:00:00,3353.02,3353.61,3343.04,3346.05,3213,12,0
